dark_ratio,image_name,lowfreq_luminance_range,mean_chroma_b,mean_chroma_g,mean_chroma_r,mean_log_luminance,saturation_ratio,scene
0.001953125,00154.jpg,0.5098039209842682,0.32131054997444153,0.33732253313064575,0.34135839343070984,-0.8474222421646118,0.001816063596491228,self_double-action_press
0.0026871565934065934,00155.jpg,0.520392155647278,0.31724515557289124,0.33848175406455994,0.34407562017440796,-0.8969784379005432,0.0019402472527472528,self_double-action_press
0.002335164835164835,00156.jpg,0.5254901945590973,0.32174184918403625,0.33678656816482544,0.3414715528488159,-0.8179664611816406,0.0018543956043956043,self_double-action_press
0.0030906593406593405,00157.jpg,0.5047058820724489,0.32008206844329834,0.3380628228187561,0.3418465554714203,-0.8479632139205933,0.0011418269230769231,self_double-action_press
0.004000686813186813,00158.jpg,0.5019607841968536,0.31772729754447937,0.33902138471603394,0.3432340919971466,-0.8977496027946472,0.0010044642857142856,self_double-action_press
0.004378434065934066,00159.jpg,0.5399999976158142,0.3268015682697296,0.3373686969280243,0.3358296751976013,-0.8235601782798767,0.0013736263736263737,self_double-action_press
0.0028245192307692307,00160.jpg,0.6039215624332428,0.3276562988758087,0.3364405035972595,0.33590322732925415,-0.710429310798645,0.0014423076923076924,self_double-action_press
0.005030906593406594,00162.jpg,0.5164705872535705,0.32250434160232544,0.3381384313106537,0.33934861421585083,-0.8750026226043701,0.0,self_double-action_press
0.004816277472527473,00163.jpg,0.5125490188598635,0.3226225674152374,0.33800220489501953,0.33937522768974304,-0.894432008266449,2.5755494505494505e-05,self_double-action_press
0.0038890796703296704,00164.jpg,0.5752941131591799,0.32943859696388245,0.3361181914806366,0.33444321155548096,-0.8326427340507507,0.00047218406593406594,self_double-action_press
0.0026871565934065934,00165.jpg,0.5937254846096041,0.3320619463920593,0.33557334542274475,0.3323647379875183,-0.7212903499603271,0.0004378434065934066,self_double-action_press
0.0050394917582417586,00166.jpg,0.5607843101024628,0.33080655336380005,0.33734583854675293,0.33184757828712463,-0.8082029819488525,0.0,self_double-action_press
0.006730769230769231,00167.jpg,0.551764702796936,0.32985565066337585,0.3395408093929291,0.33060353994369507,-0.8887040019035339,0.0,self_double-action_press
